impl,size,delay,interval,rep,interrupted,latency,checks
simple,2097152,0.02,0.1,4,True,1.1364999999999292e-05,35906
simple,2097152,0.02,0.1,5,True,1.3168000000000901e-05,36709
simple,2097152,0.02,0.1,6,True,1.2998000000000176e-05,36391
simple,2097152,0.02,0.1,7,True,1.2075999999999754e-05,36012
simple,2097152,0.02,0.1,8,True,1.4360000000001455e-05,36017
simple,2097152,0.02,0.1,9,True,1.3379000000000862e-05,36657
simple,2097152,0.02,0.1,10,True,1.2576999999999727e-05,30032
simple,2097152,0.02,0.1,11,True,1.5192000000000677e-05,22984
simple,2097152,0.02,0.1,12,True,1.1084000000001482e-05,34192
simple,2097152,0.02,0.1,13,True,1.3157999999999226e-05,34198
simple,2097152,0.02,0.1,14,True,1.2035999999999991e-05,33321
simple,2097152,0.02,0.1,15,True,1.1215000000001918e-05,32447
simple,2097152,0.02,0.1,16,True,7.837999999999595e-06,32295
simple,2097152,0.02,0.1,17,True,1.4200000000002405e-05,27667
simple,2097152,0.02,0.1,18,True,1.1554999999999899e-05,31518
simple,2097152,0.02,0.1,19,True,1.1735000000002299e-05,31415
simple,2097152,0.02,0.1,20,True,1.1053999999999925e-05,32605
simple,2097152,0.02,0.1,21,True,1.4200000000002405e-05,33005
simple,2097152,0.02,0.1,22,True,1.3168000000000901e-05,32612
simple,2097152,0.02,0.1,23,True,2.8778000000000137e-05,32768
simple,2097152,0.02,0.1,24,True,2.027100000000226e-05,32796
simple,2097152,0.02,0.1,25,True,1.6404000000001112e-05,32766
simple,2097152,0.02,0.1,26,True,1.219600000000251e-05,32729
simple,2097152,0.02,0.1,27,True,1.2647000000001046e-05,32817
simple,2097152,0.02,0.1,28,True,1.977100000000176e-05,32766
simple,2097152,0.02,0.1,29,True,1.2326000000000004e-05,32640
simple,2097152,0.03,0.001,0,True,1.5529000000003707e-05,82375
simple,2097152,0.03,0.001,1,True,1.3896000000002823e-05,100558
simple,2097152,0.03,0.001,2,True,1.404700000000314e-05,100415
simple,2097152,0.03,0.001,3,True,1.3535000000002018e-05,101872
simple,2097152,0.03,0.001,4,True,1.2594000000004657e-05,101886
simple,2097152,0.03,0.001,5,True,1.1972000000002453e-05,102145
simple,2097152,0.03,0.001,6,True,1.316500000000248e-05,102227
simple,2097152,0.03,0.001,7,True,9.59800000000302e-06,101518
simple,2097152,0.03,0.001,8,True,1.3476000000001848e-05,102339
simple,2097152,0.03,0.001,9,True,1.3826000000001504e-05,102652
simple,2097152,0.03,0.001,10,True,1.4127000000002665e-05,102711
simple,2097152,0.03,0.001,11,True,1.3536000000001491e-05,102312
simple,2097152,0.03,0.001,12,True,1.3205000000002243e-05,102079
simple,2097152,0.03,0.001,13,True,1.3154000000001331e-05,102507
simple,2097152,0.03,0.001,14,True,1.4778000000003483e-05,102536
simple,2097152,0.03,0.001,15,True,1.2173000000004208e-05,102583
simple,2097152,0.03,0.001,16,True,1.325500000000368e-05,102593
simple,2097152,0.03,0.001,17,True,1.3275000000003562e-05,102906
simple,2097152,0.03,0.001,18,True,1.2984000000004076e-05,102641
simple,2097152,0.03,0.001,19,True,1.2924000000004432e-05,102609
simple,2097152,0.03,0.001,20,True,1.281400000000335e-05,102694
simple,2097152,0.03,0.001,21,True,1.1832000000003284e-05,102804
simple,2097152,0.03,0.001,22,True,1.2975000000001874e-05,102722
simple,2097152,0.03,0.001,23,True,1.3145000000002599e-05,102403
simple,2097152,0.03,0.001,24,True,1.332500000000153e-05,102564
simple,2097152,0.03,0.001,25,True,1.2484000000003576e-05,102466
simple,2097152,0.03,0.001,26,True,1.3565000000003574e-05,102631
simple,2097152,0.03,0.001,27,True,1.4537000000001965e-05,101933
simple,2097152,0.03,0.001,28,True,1.2553000000001951e-05,102888
simple,2097152,0.03,0.001,29,True,1.2464000000003694e-05,102854
simple,2097152,0.03,0.005,0,True,1.4777000000004009e-05,82678
simple,2097152,0.03,0.005,1,True,1.2754000000003707e-05,100891
simple,2097152,0.03,0.005,2,True,1.4989000000003444e-05,101034
simple,2097152,0.03,0.005,3,True,1.3736000000003773e-05,101034
simple,2097152,0.03,0.005,4,True,1.2704000000002269e-05,101039
simple,2097152,0.03,0.005,5,True,1.3315000000003324e-05,101028
simple,2097152,0.03,0.005,6,True,1.3205000000002243e-05,100860
simple,2097152,0.03,0.005,7,True,1.24740000000019e-05,100996
simple,2097152,0.03,0.005,8,True,1.3776000000003535e-05,100994
simple,2097152,0.03,0.005,9,True,1.3536000000001491e-05,100573
simple,2097152,0.03,0.005,10,True,1.2664000000002507e-05,100967
simple,2097152,0.03,0.005,11,True,1.3686000000002335e-05,100891
simple,2097152,0.03,0.005,12,True,1.279400000000347e-05,101112
simple,2097152,0.03,0.005,13,True,1.5529000000003707e-05,101034
simple,2097152,0.03,0.005,14,True,1.3276000000003035e-05,100863
simple,2097152,0.03,0.005,15,True,1.288400000000467e-05,101041
